id,,regimen,sex,period,ALBUMIN,ALKPHOSPH,SGPTALT,SGOTAST,TOTBILI,BUN,CALCIUM blood,CREAT blood,GAMMAGT,Glycemia,PHOSPH blood,TOTPROT,DIRBILI,SODIUM Sang,POTASSIUM Sang,CHLORIDE Sang,GLOBULINE,AGRATIO,GRAVITY,GLUCOSE,BILI,KETONE,BLOOD,PH,PROT,UROBILI,PTSEC,APTTSEC,WBC,RBC,HGB,HCT,MCV,MCH,MCHC,PLT,ABSNEUT,ABSLYMPH,ABSMONO,ABSEOS,ABSBASO,ABSLUC,NEUT,LYMPH,MONO,EOS,BASO,LUC,CALCIUM,CREAT,UPROT,PHOSPH,SODIUM,POTASSIUM,CHLORIDE,NAKRATIO,CREATCLEARANCE,VOLTOTAL,TERMINALBODYWEIGHT,ADRENAL,HEART,LIVER,TESTIS,BRAIN,KIDNEY,SPLEEN,OVARY
17,17,reference2,M,1,4.2,109,37,77,0.1,15.1,9.6,0.3,0,117,6.7,6,0.01,147,4.4,99,1.8,2.33,1.043,0,0,15,0,7,100,0.2,NA,NA,10.69,8.54,15.8,44.9,52.6,18.5,35.2,926,1.28,8.93,0.21,0.1,0.04,0.13,12,83.5,1.9,0.9,0.4,1.2,6.4,142.1,136,231.7,48,243,63,0.2,0.56,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,reference2,M,2,4.3,72,37,62,0.2,15.7,11.3,0.6,0.001,226,10.7,6.6,0.001,147,8.4,105,2.3,1.87,1.048,0,0,15,0,7,100,0.2,11.8,14.3,7.99,8.91,15.3,45.2,50.7,17.1,33.8,935,1.2,6.19,0.21,0.11,0.07,0.21,15,77.5,2.7,1.3,0.9,2.7,22.9,189.6,149,142.4,39,211.5,65,0.18,0.24,5.5,508,0.075,1.605,14.145,3.625,2.303,3.926,0.715,NA
18,18,reference2,M,1,4.1,156,45,85,0.1,14.8,9.6,0.2,0,117,7.1,5.9,0.01,145,5,97,1.8,2.28,1.05,0,0,0.01,0,7,100,0.2,NA,NA,9.58,8.74,15.5,45.2,51.7,17.7,34.2,969,0.8,8.42,0.16,0.07,0.04,0.09,8.3,87.9,1.7,0.7,0.4,0.9,4.3,159.7,140,240.4,35,288,76,0.12,0.98,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,18,reference2,M,2,4.4,100,45,75,0.2,16.9,10.7,0.5,0.001,180,9.9,6.5,0.001,149,7.1,105,2.1,2.1,1.035,0,0,0.01,0,7,30,0.2,12.1,18,8.21,9,15.6,44.8,49.8,17.3,34.7,987,1.32,6.4,0.23,0.08,0.06,0.12,16.1,77.9,2.8,1,0.8,1.1,3.7,156.2,149,187.7,25,196.5,44,0.13,0.31,7,NA,0.059,1.685,14.302,3.27,2.215,3.669,0.658,NA
19,19,reference2,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.5,0.104,1.968,18.52,3.687,2.169,4.211,0.891,NA
20,20,reference2,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516.6,0.087,2.041,16.065,3.445,2.327,4.838,1.08,NA
1,1,reference3,F,1,4.5,111,36,107,0.1,17.5,9.8,0.4,0,103,5.9,6.7,0.01,146,4.2,100,2.2,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.29,8.08,15.2,42.6,52.7,18.8,35.7,1074,2.78,5.11,0.18,0.08,0.02,0.12,33.5,61.7,2.2,1,0.3,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,reference3,F,2,4.8,65,36,91,0.2,19.6,12,0.6,0.001,200,11.9,7.2,0.001,149,7.2,107,2.4,2,1.036,0,0,0,0,6,30,0.2,11.7,14.5,6.36,8.08,15.1,42.8,53,18.7,35.3,900,1.19,4.79,0.2,0.05,0.04,0.09,18.6,75.3,3.1,0.8,0.6,1.5,11.1,103.4,34,196.1,50,169,62,0.3,0.22,4.5,255.7,0.081,1.017,7.111,NA,1.955,1.78,0.565,0.148
2,2,reference3,F,1,4.5,80,32,94,0.1,12.5,10.1,0.4,2,102,6.9,6.3,0.01,146,4.9,97,1.8,2.5,1.018,0,0,0,0,7,0,0.2,NA,NA,10.36,8.72,15.6,44.7,51.2,17.9,34.9,973,0.71,8.98,0.32,0.13,0.03,0.19,6.9,86.6,3.1,1.3,0.3,1.8,2.8,42.9,11,87.9,31,78.8,31,0.39,0.57,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,reference3,F,2,5.3,45,39,84,0.2,13.8,12.5,0.6,0.001,210,9.1,7.4,0.001,152,6.2,103,2.1,2.52,1.049,0,0,0.01,0,7,30,0.2,11.1,14.5,7.53,8.91,15.7,46.8,52.5,17.6,33.5,807,0.74,6.15,0.27,0.09,0.08,0.21,9.8,81.6,3.5,1.2,1,2.8,12.7,139.1,28,114.4,76,253.5,103,0.3,0.11,2,287,0.073,1.304,8.229,NA,2.019,2.283,0.536,0.147
3,3,reference3,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270.9,0.077,0.995,8.823,NA,1.844,2.181,0.47,0.15
4,4,reference3,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289.9,0.075,1.109,7.981,NA,2.075,2.184,0.605,0.118
5,5,reference3,F,1,5.1,136,32,94,0.1,13.4,10.1,0.3,1,102,6.3,7.1,0.01,149.11,3.8,99,2,2.55,1.054,0,0,0.01,2,6.5,30,0.2,NA,NA,8.68,8.22,15.1,43.9,53.4,18.4,34.4,903,1.01,7.12,0.18,0.2,0.03,0.14,11.6,82,2.1,2.3,0.3,1.6,7.8,129,49,247.9,54,291.5,96,0.19,0.53,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,reference3,F,2,NA,73,153,189,0.2,17.1,12.8,0.6,0.001,184,10.8,9,NA,156,7.1,105,NA,NA,1.052,0,0,0.01,0,6,30,0.2,10.5,15.4,9.63,8.19,14.8,43.9,53.6,18.1,33.8,714,1.1,7.67,0.4,0.19,0.06,0.21,11.5,79.6,4.1,2,0.7,2.1,16.4,140.3,61,286.5,34,251,49,0.14,0.17,3,296.9,0.08,1.114,9.707,NA,2.106,2.853,0.494,0.121
6,6,reference3,F,1,4.7,53,32,82,0.2,16.5,10.3,0.2,0,110,6.4,7,0.1,145,4.6,97,2.3,2.04,1.062,0,0,0,0,6,30,1,NA,NA,12.07,7.72,14.9,42.6,55.2,19.2,34.9,1021,1.01,10.51,0.24,0.17,0.03,0.11,8.4,87.1,2,1.4,0.3,0.9,9.9,173.8,69,305.5,82,214,125,0.38,0.67,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,reference3,F,2,5.3,29,39,77,0.3,20.6,12.1,0.6,0.001,148,8.1,7.7,0.1,148,7.8,104,2.4,2.21,1.056,0,0,0,3,6,30,1,12.1,15.9,9.73,7.93,14.9,43.5,54.9,18.8,34.3,953,1.02,8.14,0.21,0.12,0.07,0.17,10.5,83.7,2.1,1.3,0.7,1.7,16.7,175.3,59,251.3,99,212.5,100,0.47,0.21,3,298.1,0.078,1.25,8.094,NA,2.163,2.481,0.589,0.167
7,7,reference3,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.4,0.09,1.046,9.217,NA,2.044,2.505,0.506,0.121
8,8,reference3,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296.5,0.085,1.091,8.614,NA,2.097,2.343,0.541,0.111
9,9,reference3,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307.8,0.07,1.138,9.66,NA,1.973,2.357,0.669,0.131
10,10,reference3,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.2,0.067,0.995,11.111,NA,2.033,2.139,0.43,0.129
11,11,reference3,F,1,4.5,106,31,73,0.1,13.9,10.5,0.4,1,99,6.7,6.5,0.01,146,5,99,2,2.25,1.056,0,0,0,0,6,30,0.2,NA,NA,8.05,8.46,15.9,44.9,53.1,18.8,35.4,1018,0.54,6.96,0.23,0.17,0.03,0.11,6.7,86.5,2.9,2.1,0.4,1.4,9.2,170.3,55,375.6,69,221,96,0.31,0.34,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,reference3,F,2,5.1,67,43,79,0.2,19.3,12,0.6,0.001,193,9.5,7,0.001,149,7.9,104,1.9,2.68,1.052,0,0,0,2,5.5,30,0.2,11.7,14.7,6.27,8.37,15.3,43.6,52.1,18.3,35.1,808,0.78,5.02,0.2,0.09,0.04,0.13,12.5,80.1,3.2,1.5,0.6,2.1,15.3,150.9,40,366.3,70,242,63,0.29,0.21,3.5,297.2,0.073,1.065,7.962,NA,2.157,2.451,0.501,0.143
12,12,reference3,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308.7,0.09,1.162,8.896,NA,2.174,2.396,0.536,0.114
13,13,reference3,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308.1,0.083,1.167,9.282,NA,2.156,2.539,0.577,0.177
14,14,reference3,F,1,4.7,84,65,126,0.1,17.8,10.1,0.4,2,121,6.7,6.8,0.01,147,4.7,100,2.1,2.24,1.031,0,0,0,0,7,0.01,0.2,NA,NA,10,7.7,14.8,41.4,53.8,19.3,35.8,907,0.95,8.52,0.29,0.1,0.02,0.12,9.5,85.3,2.9,1,0.2,1.2,9.5,83.4,25,113.8,31,147.5,62,0.21,0.33,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,14,reference3,F,2,5.2,42,115,141,0.21,21.8,11.3,0.6,0.001,166,8.1,7.4,0.001,148,6.8,105,2.2,2.36,1.042,0,0,0,0,5,0.01,0.2,11.5,15,6.44,7.91,14.5,42.4,53.6,18.4,34.3,848,0.69,5.14,0.28,0.1,0.05,0.18,10.8,79.8,4.3,1.6,0.8,2.8,19.9,133,39,270,58,169,65,0.34,0.23,4.5,314.7,0.072,1.08,8.727,NA,2.098,2.345,0.555,0.166
15,15,reference3,F,1,4.8,68,35,77,0.1,14,10.4,0.3,0,109,5.9,7,0.1,145,4.8,98,2.2,2.18,1.025,0,0,0,0,7,0,0.2,NA,NA,10.74,7.8,14.7,42.5,54.6,18.8,34.5,981,0.9,9.25,0.25,0.13,0.03,0.19,8.3,86.1,2.3,1.2,0.3,1.7,4.5,63.2,16,108.7,34,109.5,39,0.31,0.68,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,15,reference3,F,2,5.6,46,59,92,0.2,18.8,12.3,0.6,0.001,228,8,7.8,0.001,153,6.6,106,2.2,2.55,1.067,0,0,0.01,0,6.5,100,1,10.8,15.8,6.34,7.86,15,44.4,56.5,19.1,33.8,843,0.69,5.05,0.25,0.07,0.07,0.21,10.8,79.7,4,1.1,1.1,3.3,20.5,185.6,56,269.9,96,320,121,0.3,0.14,2,316.9,0.078,1.228,9.025,NA,2.2,2.395,0.547,0.164
16,16,reference3,F,1,4.7,81,30,81,0.2,16.4,10.7,0.2,0,101,7.5,7.1,0.01,146,5.1,98,2.4,1.96,1.041,0,0,0,0,6.5,30,0.2,NA,NA,8.5,8.26,16.1,44.4,53.8,19.5,36.2,1003,0.73,7.24,0.25,0.18,0.03,0.06,8.6,85.2,2.9,2.1,0.4,0.7,4.9,125.1,40,279.5,55,205.5,79,0.27,0.99,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,16,reference3,F,2,5.1,53,63,100,0.2,21.4,12.1,0.6,0.001,186,9.5,7.4,0.001,153,6.1,104,2.3,2.22,1.025,0,0,0,0,6.5,0,0.2,11.3,15.1,5.71,7.99,15,43.1,53.9,18.7,34.7,875,0.67,4.59,0.24,0.08,0.04,0.1,11.7,80.3,4.2,1.4,0.6,1.8,5.3,64.5,13,96.9,43,135,52,0.32,0.27,10,284.9,0.072,1.093,7.982,NA,2.113,2.438,0.638,0.128
17,17,reference3,F,1,4.9,77,30,71,0.1,13.7,10.6,0.3,1,119,5.7,7,0.01,146,4.5,98,2.1,2.33,1.021,0,0,0,0,6.5,0,0.2,NA,NA,11.26,7.91,15.2,42.9,54.3,19.2,35.4,960,1.12,9.45,0.34,0.19,0.04,0.11,10,83.9,3.1,1.7,0.3,1,3.7,56.7,15,110.9,27,82,47,0.33,0.67,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,reference3,F,2,6,40,37,70,0.2,14.9,11.6,0.6,0.001,139,7.5,8,0.001,154,6.6,107,2,3,NA,NA,NA,NA,NA,NA,NA,NA,11.1,18.9,6.23,8.31,15.9,46.1,55.5,19.1,34.4,993,0.66,5,0.23,0.14,0.05,0.15,10.6,80.2,3.7,2.2,0.9,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332.7,0.073,1.192,9.066,NA,1.963,2.286,0.597,0.125
18,18,reference3,F,1,4.4,64,30,67,0.1,17.2,10.1,0.2,0,128,5.9,6.6,0.1,146,4.8,99,2.2,2,1.034,0,0,0,0,6.5,0,0.2,NA,NA,7.05,7.76,14.2,40.4,52,18.2,35,1084,0.61,6.1,0.18,0.06,0,0.09,8.7,86.5,2.5,0.9,0.1,1.3,27.2,71.9,19,189.5,63,173.5,127,0.36,0.97,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,18,reference3,F,2,5.6,42,31,74,0.2,15.4,11.7,0.6,0.001,167,11.4,8,0.001,154,8.9,107,2.4,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.03,8.41,15.1,44.6,53,18,33.9,991,0.83,5.83,0.18,0.03,0.05,0.1,11.8,83,2.6,0.5,0.8,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256.2,0.059,0.891,7.263,NA,2.107,2.111,0.398,0.108
19,19,reference3,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254.8,0.07,1.059,7.801,NA,2.079,1.963,0.487,0.139
20,20,reference3,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.9,0.083,1.063,8.646,NA,1.977,2.423,0.559,0.146
1,1,reference3,M,1,4,163,54,124,0.1,14.8,10,0.3,0,135,8.3,6.6,0.01,147,5.3,97,2.6,1.54,1.035,0,0,0.01,0,6.5,30,0.2,NA,NA,17.16,8.47,16.2,46.2,54.6,19.1,35,995,1.02,15.18,0.37,0.29,0.12,0.19,5.9,88.5,2.2,1.7,0.7,1.1,5.2,101.4,77,189.9,43,214,90,0.2,0.76,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,reference3,M,2,4.3,125,60,99,0.2,14.7,11,0.6,0.001,211,9.7,7.1,0.1,149,6.4,99,2.8,1.54,1.045,0,0,0.01,3,6.5,30,0.2,11.4,17.4,12.44,8.86,15.1,43.9,49.6,17.1,34.5,1123,1.44,9.82,0.52,0.33,0.09,0.24,11.6,78.9,4.2,2.7,0.7,1.9,7.8,152.7,135,178.8,50,223.5,82,0.22,0.22,7.5,622.7,0.076,2.075,18.192,3.39,2.216,4.821,0.832,NA
2,2,reference3,M,1,4,179,37,99,0.1,12.4,9.7,0.3,0,106,7.7,6,0.1,147,5.1,100,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.82,8.4,15.4,44.6,53.1,18.4,34.6,882,1.49,13.32,0.4,0.16,0.06,0.39,9.4,84.2,2.6,1,0.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,reference3,M,2,4.2,107,48,102,0.2,15.9,11.4,0.5,0.001,210,11.5,6.5,0.1,145,7.8,101,2.3,1.83,1.036,0,0,0.01,0,6.5,30,0.2,11.4,14.8,14.72,8.63,15,44,51,17.4,34,905,1.24,12.61,0.39,0.11,0.12,0.25,8.4,85.7,2.7,0.7,0.8,1.7,3.5,135.4,93,140.6,24,186,46,0.13,0.25,7,543,0.055,1.602,14.321,3.358,2.347,4.172,0.818,NA
3,3,reference3,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551.6,0.064,2.06,16.209,3.423,2.23,4.106,0.748,NA
4,4,reference3,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,579.6,0.093,2.069,18.709,3.259,2.209,4.303,0.93,NA
5,5,reference3,M,1,3.8,169,37,98,0.1,13.5,10,0.4,0,102,7.6,6.3,0.01,146,4.7,99,2.5,1.52,1.047,0,0,15,3,6.5,300,0.2,NA,NA,12.68,8.83,15.9,46.7,52.9,18.1,34.1,1033,1.22,10.78,0.3,0.24,0.06,0.08,9.7,85,2.3,1.9,0.5,0.6,3.3,146.2,160,272.8,37,287.5,77,0.13,0.46,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,reference3,M,2,4,99,46,107,0.21,16.3,10.4,0.5,0.001,178,8.6,6.9,0.001,153,6.4,104,2.9,1.38,1.051,0,0,15,2,6.5,300,1,12.3,16.6,6.91,9.15,15.2,45.1,49.3,16.6,33.8,1006,0.88,5.5,0.18,0.16,0.06,0.12,12.7,79.6,2.7,2.2,0.9,1.8,3,196.6,485,258,34,262.5,60,0.13,0.21,4,538.7,0.083,2.045,16.079,3.383,2.252,4.767,0.992,NA
6,6,reference3,M,1,4.3,163,32,98,0.2,16.2,10,0.3,0,89,7.1,6.4,0.1,145,5.1,99,2.1,2.05,1.033,0,0,0.01,0,7,30,0.2,NA,NA,7.46,8.33,15.5,44.2,53.1,18.5,34.9,948,0.81,6.39,0.1,0.08,0.04,0.04,10.8,85.6,1.3,1.1,0.5,0.6,3.9,102.6,115,162.2,32,187.5,72,0.17,0.45,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,reference3,M,2,4.4,85,36,70,0.2,20.7,11.5,0.5,0.001,153,13.1,6.7,0.1,149,9.2,103,2.3,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,8.54,14.7,43.9,51.4,17.2,33.5,927,1.13,4.23,0.12,0.07,0.06,0.1,19.8,74.2,2,1.2,1,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438.9,0.074,1.77,12.35,3.755,2.146,3.561,0.755,NA
7,7,reference3,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518,0.057,2.025,14.794,3.695,2.175,4.453,0.913,NA
8,8,reference3,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480.8,0.086,1.742,16.061,3.546,2.363,4.392,0.77,NA
9,9,reference3,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,522.7,0.06,1.742,15.137,3.576,2.289,3.902,0.855,NA
10,10,reference3,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508.6,0.08,1.828,16.253,3.945,2.309,4.301,0.925,NA
11,11,reference3,M,1,4.3,155,34,112,0.1,16.6,10.1,0.1,0,111,8.1,6.8,0.01,144,5.5,95,2.5,1.72,1.032,0,0,15,0,7,30,0.2,NA,NA,11.64,8.93,16.5,47.2,52.8,18.5,35,915,0.86,10.09,0.35,0.16,0.05,0.12,7.4,86.8,3,1.4,0.5,1,2.1,101.3,94,145.1,39,158,55,0.25,1.29,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,reference3,M,2,4.4,94,43,82,0.21,17.5,12,0.6,0.001,214,9.3,7.1,0.001,149,6.7,98,2.7,1.63,1.044,0,0,15,1,7.5,100,0.2,11.5,14.8,6.76,9.14,16,46.6,51,17.5,34.3,920,1.23,4.94,0.28,0.08,0.07,0.17,18.1,73,4.2,1.2,1,2.6,3.5,162.4,133,120.6,42,220,74,0.19,0.24,6.5,529.1,0.07,1.62,16.27,3.251,2.278,4.144,0.71,NA
12,12,reference3,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585.6,0.08,2.175,16.765,3.522,2.235,4.605,0.821,NA
13,13,reference3,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545.4,0.054,2.044,14.923,3.541,2.243,4.333,0.905,NA
14,14,reference3,M,1,4.1,92,31,121,0.1,12.9,9.7,0.3,0,94,7.7,6.6,0.01,145,4.7,97,2.5,1.64,1.033,0,0,0.01,0,7,30,0.2,NA,NA,11.58,8.51,15.4,44.1,51.8,18.1,34.9,959,2.77,8.04,0.38,0.16,0.05,0.19,23.9,69.4,3.3,1.4,0.4,1.6,4,104.2,113,169.8,51,171,60,0.3,0.44,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,14,reference3,M,2,3.8,67,42,87,0.21,14.4,11.1,0.5,0.001,157,8.6,6.8,0.1,150,6.5,102,3,1.27,1.046,0,0,15,0,7,100,1,12.3,16.6,7.92,8.62,14.2,41.3,47.9,16.5,34.5,1090,2.69,4.11,0.5,0.16,0.12,0.34,34,51.8,6.4,2,1.5,4.2,4,172.8,163,150.8,46,246.5,81,0.19,0.26,5.5,515.4,0.069,1.692,13.997,3.477,2.165,3.673,1.043,NA
15,15,reference3,M,1,4.1,113,47,97,0.1,15.1,10.1,0.3,0,122,7.3,6.3,0.01,148,5.2,100,2.2,1.86,1.028,0,0,15,0,7,30,0.2,NA,NA,15.55,8.15,16.2,46.9,57.5,19.9,34.6,962,0.67,14.1,0.38,0.13,0.09,0.18,4.3,90.7,2.5,0.8,0.6,1.1,2,88.4,97,127.8,25,137.5,54,0.18,0.67,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,15,reference3,M,2,4.2,73,44,87,0.2,17,11.2,0.5,0.001,186,10.1,6.7,0.001,148,8.1,105,2.5,1.68,1.052,0,0,15,0,7,100,0.2,12.4,16.2,7.49,7.67,15,43.6,56.9,19.5,34.3,920,0.88,6.02,0.34,0.06,0.06,0.14,11.7,80.3,4.5,0.8,0.8,1.9,4.5,184.9,126,155.5,101,253.5,152,0.4,0.34,7,544.7,0.085,1.871,15.78,3.433,2.416,4.01,0.783,NA
