id,,regimen,sex,period,ALBUMIN,ALKPHOSPH,SGPTALT,SGOTAST,TOTBILI,BUN,CALCIUM blood,CREAT blood,GAMMAGT,Glycemia,PHOSPH blood,TOTPROT,DIRBILI,SODIUM Sang,POTASSIUM Sang,CHLORIDE Sang,GLOBULINE,AGRATIO,GRAVITY,GLUCOSE,BILI,KETONE,BLOOD,PH,PROT,UROBILI,PTSEC,APTTSEC,WBC,RBC,HGB,HCT,MCV,MCH,MCHC,PLT,ABSNEUT,ABSLYMPH,ABSMONO,ABSEOS,ABSBASO,ABSLUC,NEUT,LYMPH,MONO,EOS,BASO,LUC,CALCIUM,CREAT,UPROT,PHOSPH,SODIUM,POTASSIUM,CHLORIDE,NAKRATIO,CREATCLEARANCE,VOLTOTAL,TERMINALBODYWEIGHT,ADRENAL,HEART,LIVER,TESTIS,BRAIN,KIDNEY,SPLEEN,OVARY
15,15,reference2,F,2,5.5,62,52,113,0.2,16.4,12.2,0.7,0.001,153,9.7,7.9,0.001,153,8.4,106,2.4,2.29,1.035,0,0,0,0,6,0.01,0.2,11.4,15.4,6.85,7.62,14.9,44.5,58.4,19.5,33.4,965,0.51,5.81,0.24,0.06,0.06,0.17,7.5,84.8,3.5,0.9,0.8,2.5,15.8,104,27,160.9,47,151.5,51,0.31,0.17,5,316.2,0.098,1.197,9.414,NA,2.042,2.755,0.685,0.163
16,16,reference2,F,1,4.7,92,27,78,0.2,18.3,10.3,0.3,0,114,6.2,6.7,0.1,147,4.7,99,2,2.35,1.044,0,0,0,0,6.5,30,0.2,NA,NA,9.12,7.9,14.8,41.9,53,18.8,35.5,1063,0.84,7.83,0.26,0.06,0.02,0.1,9.3,85.9,2.9,0.6,0.3,1,8.8,108.7,32,262.9,42,213,78,0.2,0.43,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,16,reference2,F,2,6.4,35,105,147,0.2,21.7,13.6,0.6,0.001,151,10.4,8.7,0.001,154,7.3,104,2.3,2.78,1.038,0,0,0,0,5.5,30,0.2,10.2,14.1,6.75,8.03,14.5,42.6,53.1,18.1,34.1,1079,0.96,5.18,0.33,0.08,0.05,0.15,14.2,76.8,5,1.2,0.7,2.2,23.5,104.8,31,234,46,204.5,58,0.22,0.23,5.5,305.6,0.084,1.214,9.326,NA,2.076,2.426,0.54,0.122
17,17,reference2,F,1,4.8,84,37,98,0.1,15,10.5,0.3,0,124,6.9,7.3,0.01,146,4.9,98,2.5,1.92,1.032,0,0,0,0,6.5,0,0.2,NA,NA,12.31,7.92,15.1,43.1,54.4,19.1,35.1,1063,0.87,10.53,0.32,0.2,0.05,0.35,7,85.5,2.6,1.6,0.4,2.9,7,77.2,21,203.5,74,140.5,99,0.53,0.58,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,reference2,F,2,6.2,41,64,82,0.21,19.6,12.1,0.6,0.001,150,8.7,8.5,0.001,151,6.9,104,2.3,2.7,1.041,0,0,0,0,5.5,30,0.2,10.6,15.4,5.46,7.63,14,41.4,54.3,18.4,33.9,932,0.78,4.12,0.26,0.1,0.06,0.14,14.3,75.4,4.7,1.9,1,2.6,9.7,117,43,270.9,51,209.5,75,0.24,0.18,4,322.1,0.076,1.253,9.718,NA,1.99,2.444,0.538,0.124
18,18,reference2,F,1,4.2,85,30,86,0.1,18.2,10.3,0.2,1,91,6.4,6.3,0.01,145,5.3,98,2.1,2,1.047,0,0,0,0,6,30,0.2,NA,NA,10.15,8.26,15.2,42.9,52,18.4,35.3,946,1.15,8.38,0.27,0.17,0.03,0.15,11.3,82.5,2.7,1.6,0.3,1.5,5.4,119.5,32,242.6,47,180.5,89,0.26,0.37,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,18,reference2,F,2,4.8,42,84,134,0.21,21.6,11,0.6,0.001,150,9,6.9,0.001,152,7.6,107,2.1,2.29,1.016,0,0,0,0,6.5,0,0.2,10.8,13.9,7.34,8.13,14.9,43.4,53.4,18.3,34.4,810,1.24,5.6,0.23,0.1,0.04,0.12,17,76.4,3.1,1.3,0.6,1.6,2,43.6,8,65.2,24,50.4,30,0.48,0.22,11,265.9,0.059,1.047,6.803,NA,2.009,1.937,0.478,0.111
19,19,reference2,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302.4,0.07,1.012,7.948,NA,2.088,2.068,0.661,0.146
20,20,reference2,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.6,0.082,1.203,7.383,NA,2.063,2.149,0.539,0.148
1,1,reference2,M,1,4.2,143,37,115,0.2,16.5,9.6,0.4,0,84,7.1,6.4,0.1,148,5.1,99,2.2,1.91,1.031,0,0,0.01,0,7,30,0.2,NA,NA,10.79,8.17,15.4,44.3,54.2,18.8,34.7,1019,1.4,8.8,0.31,0.11,0.04,0.12,13,81.6,2.9,1,0.4,1.1,4.3,94.1,112,152.3,34,161,61,0.21,0.46,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,reference2,M,2,4.8,92,34,76,0.2,16,11.8,0.6,0.001,220,9.5,7.6,0.1,149,6.5,99,2.8,1.71,1.029,0,0,0.01,0,6.5,30,0.2,11.7,15.8,7.73,8.86,15.6,45.8,51.7,17.6,34.1,1136,1.14,6.01,0.25,0.12,0.06,0.14,14.8,77.8,3.3,1.6,0.7,1.8,4.7,96.3,107,104.2,34,123,53,0.28,0.3,13,485.7,0.076,1.565,13.256,3.478,2.233,3.549,0.567,NA
2,2,reference2,M,1,4.3,185,41,115,0.2,17,9.6,0.4,0,119,7.7,6.3,0.1,148,5.2,100,2,2.15,1.036,0,0,0.01,3,7,100,0.2,NA,NA,9.95,8.39,15.5,44.8,53.4,18.5,34.6,861,0.96,8.45,0.3,0.11,0.05,0.08,9.6,84.9,3,1.1,0.5,0.8,4,133.6,120,119.8,51,168,58,0.3,0.26,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,reference2,M,2,4.3,95,42,74,0.2,14.5,10.7,0.5,0.001,171,10.8,6.5,0.1,147,6.7,100,2.2,1.95,1.051,0,0,15,0,7,100,0.2,11.5,9.3,9.04,8.66,15.3,44.6,51.4,17.6,34.3,867,0.97,7.51,0.28,0.11,0.06,0.11,10.7,83.1,3.1,1.3,0.6,1.3,8,166.3,190,99.1,117,240,149,0.4911,0.21,4.5,494.3,0.049,2.123,14.261,3.769,2.117,4.119,0.823,NA
